feature,importance
cat__TotalCharges_20.1,0.0
cat__TotalCharges_20.15,0.0
cat__TotalCharges_20.2,0.0
cat__TotalCharges_20.25,0.0
cat__TotalCharges_20.3,0.0
cat__TotalCharges_20.35,0.0
cat__TotalCharges_20.4,0.0
cat__TotalCharges_20.45,0.0
cat__TotalCharges_2018.4,0.0
cat__TotalCharges_202.15,0.0
cat__TotalCharges_1988.05,0.0
cat__TotalCharges_202.25,0.0
cat__TotalCharges_2048.8,0.0
cat__TotalCharges_2049.05,0.0
cat__TotalCharges_205.05,0.0
cat__TotalCharges_2053.05,0.0
cat__TotalCharges_2054.4,0.0
cat__TotalCharges_2058.5,0.0
cat__TotalCharges_206.15,0.0
cat__TotalCharges_206.6,0.0
cat__TotalCharges_2062.15,0.0
cat__TotalCharges_2065.15,0.0
cat__TotalCharges_2065.4,0.0
cat__TotalCharges_2066,0.0
cat__TotalCharges_2067,0.0
cat__TotalCharges_2068.55,0.0
cat__TotalCharges_207.35,0.0
cat__TotalCharges_2070.05,0.0
cat__TotalCharges_2070.6,0.0
cat__TotalCharges_2072.75,0.0
cat__TotalCharges_2075.1,0.0
cat__TotalCharges_2045.55,0.0
cat__TotalCharges_2044.95,0.0
cat__TotalCharges_2044.75,0.0
cat__TotalCharges_2030.75,0.0
cat__TotalCharges_202.3,0.0
cat__TotalCharges_2020.9,0.0
cat__TotalCharges_2021.35,0.0
cat__TotalCharges_2023.55,0.0
cat__TotalCharges_2024.1,0.0
cat__TotalCharges_2028.8,0.0
cat__TotalCharges_203.95,0.0
cat__TotalCharges_2030.3,0.0
cat__TotalCharges_2031.95,0.0
cat__TotalCharges_2043.45,0.0
cat__TotalCharges_2032.3,0.0
cat__TotalCharges_2033.05,0.0
cat__TotalCharges_2033.85,0.0
cat__TotalCharges_2036.55,0.0
cat__TotalCharges_2038.7,0.0
cat__TotalCharges_204.55,0.0
cat__TotalCharges_204.7,0.0
cat__TotalCharges_2042.05,0.0
cat__TotalCharges_199.45,0.0
cat__TotalCharges_1985.15,0.0
cat__TotalCharges_2274.35,0.0
cat__TotalCharges_194.55,0.0
cat__TotalCharges_1916,0.0
cat__TotalCharges_1916.2,0.0
cat__TotalCharges_1917.1,0.0
cat__TotalCharges_1923.85,0.0
cat__TotalCharges_1924.1,0.0
cat__TotalCharges_1927.3,0.0
cat__TotalCharges_1928.7,0.0
cat__TotalCharges_1929,0.0
cat__TotalCharges_1929.35,0.0
cat__TotalCharges_1929.95,0.0
cat__TotalCharges_193.05,0.0
cat__TotalCharges_193.6,0.0
cat__TotalCharges_1930.9,0.0
cat__TotalCharges_1931.75,0.0
cat__TotalCharges_1932.75,0.0
cat__TotalCharges_1934.45,0.0
cat__TotalCharges_1936.85,0.0
cat__TotalCharges_1937.4,0.0
cat__TotalCharges_1939.35,0.0
cat__TotalCharges_1914.9,0.0
cat__TotalCharges_1914.5,0.0
cat__TotalCharges_1912.85,0.0
cat__TotalCharges_1901.65,0.0
cat__TotalCharges_19.9,0.0
cat__TotalCharges_19.95,0.0
cat__TotalCharges_190.05,0.0
cat__TotalCharges_190.1,0.0
cat__TotalCharges_190.25,0.0
cat__TotalCharges_190.5,0.0
cat__TotalCharges_1901.05,0.0
cat__TotalCharges_1901.25,0.0
cat__TotalCharges_1902,0.0
cat__TotalCharges_1912.15,0.0
cat__TotalCharges_1905.4,0.0
cat__TotalCharges_1905.7,0.0
cat__TotalCharges_1907.85,0.0
cat__TotalCharges_1908.35,0.0
cat__TotalCharges_191.05,0.0
cat__TotalCharges_191.35,0.0
cat__TotalCharges_1910.75,0.0
cat__TotalCharges_1911.5,0.0
cat__TotalCharges_194.2,0.0
cat__TotalCharges_1940.8,0.0
cat__TotalCharges_1983.15,0.0
cat__TotalCharges_1940.85,0.0
cat__TotalCharges_1964.6,0.0
cat__TotalCharges_197.4,0.0
cat__TotalCharges_197.7,0.0
cat__TotalCharges_1970.5,0.0
cat__TotalCharges_1971.15,0.0
cat__TotalCharges_1971.5,0.0
cat__TotalCharges_1972.35,0.0
cat__TotalCharges_1973.75,0.0
cat__TotalCharges_1974.8,0.0
cat__TotalCharges_1975.85,0.0
cat__TotalCharges_1978.65,0.0
cat__TotalCharges_198,0.0
cat__TotalCharges_198.1,0.0
cat__TotalCharges_198.25,0.0
cat__TotalCharges_198.5,0.0
cat__TotalCharges_198.6,0.0
cat__TotalCharges_198.7,0.0
cat__TotalCharges_1980.3,0.0
cat__TotalCharges_1982.1,0.0
cat__TotalCharges_1961.6,0.0
cat__TotalCharges_196.95,0.0
cat__TotalCharges_196.9,0.0
cat__TotalCharges_1952.25,0.0
cat__TotalCharges_1941.5,0.0
cat__TotalCharges_1943.2,0.0
cat__TotalCharges_1943.9,0.0
cat__TotalCharges_1948.35,0.0
cat__TotalCharges_195.05,0.0
cat__TotalCharges_195.3,0.0
cat__TotalCharges_195.65,0.0
cat__TotalCharges_1951,0.0
cat__TotalCharges_1952.8,0.0
cat__TotalCharges_196.75,0.0
cat__TotalCharges_1955.4,0.0
cat__TotalCharges_1956.4,0.0
cat__TotalCharges_1957.1,0.0
cat__TotalCharges_1958.45,0.0
cat__TotalCharges_1958.95,0.0
cat__TotalCharges_196.15,0.0
cat__TotalCharges_196.35,0.0
cat__TotalCharges_196.4,0.0
cat__TotalCharges_2076.05,0.0
cat__TotalCharges_2076.2,0.0
cat__TotalCharges_2077.95,0.0
cat__TotalCharges_2221.55,0.0
cat__TotalCharges_2203.1,0.0
cat__TotalCharges_2203.7,0.0
cat__TotalCharges_2204.35,0.0
cat__TotalCharges_2208.05,0.0
cat__TotalCharges_2208.75,0.0
cat__TotalCharges_2209.15,0.0
cat__TotalCharges_2209.75,0.0
cat__TotalCharges_221.1,0.0
cat__TotalCharges_221.35,0.0
cat__TotalCharges_221.7,0.0
cat__TotalCharges_221.9,0.0
cat__TotalCharges_2210.2,0.0
cat__TotalCharges_2211.8,0.0
cat__TotalCharges_2212.55,0.0
cat__TotalCharges_2215,0.0
cat__TotalCharges_2215.25,0.0
cat__TotalCharges_2215.45,0.0
cat__TotalCharges_2217.15,0.0
cat__TotalCharges_222.3,0.0
cat__TotalCharges_2201.75,0.0
cat__TotalCharges_2200.25,0.0
cat__TotalCharges_220.95,0.0
cat__TotalCharges_2196.15,0.0
cat__TotalCharges_219.35,0.0
cat__TotalCharges_219.5,0.0
cat__TotalCharges_2191.15,0.0
cat__TotalCharges_2191.7,0.0
cat__TotalCharges_2192.9,0.0
cat__TotalCharges_2193,0.0
cat__TotalCharges_2193.2,0.0
cat__TotalCharges_2193.65,0.0
cat__TotalCharges_2196.3,0.0
cat__TotalCharges_220.8,0.0
cat__TotalCharges_2196.45,0.0
cat__TotalCharges_2198.3,0.0
cat__TotalCharges_2198.9,0.0
cat__TotalCharges_2199.05,0.0
cat__TotalCharges_220.1,0.0
cat__TotalCharges_220.35,0.0
cat__TotalCharges_220.45,0.0
cat__TotalCharges_220.75,0.0
cat__TotalCharges_2220.1,0.0
cat__TotalCharges_2224.5,0.0
cat__TotalCharges_2078.55,0.0
cat__TotalCharges_2227.1,0.0
cat__TotalCharges_2250.65,0.0
cat__TotalCharges_2254.2,0.0
cat__TotalCharges_2258.25,0.0
cat__TotalCharges_2259.35,0.0
cat__TotalCharges_226.2,0.0
cat__TotalCharges_226.45,0.0
cat__TotalCharges_226.55,0.0
cat__TotalCharges_226.95,0.0
cat__TotalCharges_2263.4,0.0
cat__TotalCharges_2263.45,0.0
cat__TotalCharges_2264.05,0.0
cat__TotalCharges_2264.5,0.0
cat__TotalCharges_2265,0.0
cat__TotalCharges_2265.25,0.0
cat__TotalCharges_227.35,0.0
cat__TotalCharges_227.45,0.0
cat__TotalCharges_2271.85,0.0
cat__TotalCharges_2272.8,0.0
cat__TotalCharges_2274.1,0.0
cat__TotalCharges_225.85,0.0
cat__TotalCharges_268.4,0.0
cat__TotalCharges_225.6,0.0
cat__TotalCharges_2237.55,0.0
cat__TotalCharges_2227.8,0.0
cat__TotalCharges_223.15,0.0
cat__TotalCharges_223.45,0.0
cat__TotalCharges_223.9,0.0
cat__TotalCharges_2230.85,0.0
cat__TotalCharges_2231.05,0.0
cat__TotalCharges_2234.55,0.0
cat__TotalCharges_2236.2,0.0
cat__TotalCharges_2239.4,0.0
cat__TotalCharges_2249.95,0.0
cat__TotalCharges_2239.65,0.0
cat__TotalCharges_224.05,0.0
cat__TotalCharges_224.5,0.0
cat__TotalCharges_224.85,0.0
cat__TotalCharges_2243.9,0.0
cat__TotalCharges_2244.95,0.0
cat__TotalCharges_2248.05,0.0
cat__TotalCharges_2249.1,0.0
